User,Restaurant,Rating
1,V1,3
4,V1,4
5,V1,5
6,V1,1
8,V1,2
9,V1,3
12,V1,2
16,V1,4
18,V1,3
22,V1,5
24,V1,4
25,V1,3
26,V1,1
27,V1,5
30,V1,4
31,V1,2
32,V1,5
34,V1,5
37,V1,5
40,V1,5
41,V1,5
1,V10,3
4,V10,2
6,V10,2
8,V10,2
15,V10,2
17,V10,1
20,V10,2
21,V10,5
22,V10,5
24,V10,2
27,V10,3
28,V10,4
29,V10,5
30,V10,2
32,V10,3
37,V10,3
39,V10,3
1,V11,3
2,V11,3
7,V11,1
9,V11,3
14,V11,3
17,V11,1
19,V11,5
21,V11,1
22,V11,5
23,V11,3
24,V11,2
25,V11,2
26,V11,1
28,V11,4
29,V11,3
30,V11,3
33,V11,5
34,V11,2
35,V11,4
36,V11,3
39,V11,3
3,V12,4
4,V12,4
5,V12,5
6,V12,3
7,V12,5
8,V12,3
10,V12,5
12,V12,2
15,V12,2
20,V12,5
21,V12,2
22,V12,5
25,V12,5
26,V12,1
30,V12,3
31,V12,3
35,V12,4
36,V12,5
41,V12,4
1,V13,4
2,V13,5
3,V13,3
8,V13,1
9,V13,3
12,V13,4
13,V13,5
14,V13,4
17,V13,5
18,V13,3
22,V13,5
26,V13,1
27,V13,5
28,V13,3
31,V13,2
32,V13,5
33,V13,2
34,V13,5
35,V13,3
36,V13,5
37,V13,3
38,V13,5
39,V13,5
41,V13,3
3,V14,3
4,V14,4
9,V14,4
10,V14,4
13,V14,3
15,V14,2
20,V14,4
21,V14,4
22,V14,5
23,V14,2
25,V14,4
27,V14,3
31,V14,2
33,V14,2
36,V14,5
40,V14,4
1,V15,3
2,V15,3
5,V15,5
7,V15,3
8,V15,2
9,V15,3
10,V15,5
11,V15,3
15,V15,2
16,V15,2
19,V15,3
20,V15,5
21,V15,3
24,V15,3
27,V15,3
30,V15,3
32,V15,3
37,V15,3
38,V15,3
39,V15,1
40,V15,2
2,V2,3
4,V2,4
10,V2,4
11,V2,3
13,V2,3
14,V2,3
16,V2,1
18,V2,3
19,V2,4
21,V2,1
22,V2,5
23,V2,4
26,V2,1
34,V2,3
35,V2,4
39,V2,3
40,V2,2
41,V2,3
2,V3,3
3,V3,3
5,V3,5
6,V3,4
7,V3,3
9,V3,3
11,V3,3
13,V3,5
14,V3,3
16,V3,1
18,V3,3
20,V3,4
21,V3,3
23,V3,4
24,V3,2
25,V3,3
26,V3,1
28,V3,3
29,V3,3
31,V3,4
33,V3,4
35,V3,3
36,V3,3
37,V3,3
38,V3,3
40,V3,1
1,V4,3
3,V4,3
5,V4,5
6,V4,2
7,V4,4
10,V4,5
11,V4,3
13,V4,5
14,V4,3
16,V4,1
17,V4,2
18,V4,3
20,V4,4
21,V4,3
22,V4,5
24,V4,2
26,V4,2
27,V4,3
28,V4,1
35,V4,4
39,V4,4
40,V4,3
41,V4,3
3,V5,3
4,V5,3
8,V5,4
11,V5,5
12,V5,4
13,V5,3
15,V5,3
18,V5,3
22,V5,5
26,V5,1
29,V5,3
30,V5,3
31,V5,3
32,V5,4
34,V5,5
39,V5,5
41,V5,5
1,V6,3
3,V6,3
7,V6,3
9,V6,5
11,V6,3
12,V6,2
15,V6,2
17,V6,2
18,V6,5
22,V6,5
23,V6,1
25,V6,3
26,V6,1
28,V6,4
32,V6,3
33,V6,3
34,V6,4
37,V6,3
38,V6,2
40,V6,3
41,V6,4
1,V7,3
2,V7,3
3,V7,3
5,V7,5
6,V7,4
12,V7,3
18,V7,4
19,V7,4
20,V7,3
23,V7,5
26,V7,1
28,V7,5
29,V7,3
31,V7,2
38,V7,3
40,V7,2
41,V7,3
2,V8,3
3,V8,3
4,V8,3
8,V8,2
9,V8,3
11,V8,3
12,V8,2
13,V8,5
14,V8,3
15,V8,2
17,V8,2
18,V8,5
19,V8,3
21,V8,5
22,V8,5
23,V8,2
24,V8,2
27,V8,3
30,V8,3
32,V8,3
34,V8,2
35,V8,2
37,V8,3
38,V8,3
39,V8,3
40,V8,1
41,V8,3
5,V9,5
6,V9,4
7,V9,3
8,V9,1
9,V9,3
10,V9,5
13,V9,4
16,V9,3
20,V9,2
21,V9,1
24,V9,2
25,V9,5
28,V9,2
29,V9,5
31,V9,1
32,V9,4
33,V9,2
35,V9,5
37,V9,5
39,V9,5
